item_id,meeting,agenda_no,matter_file,stage,places,largest_amount,title,relevant,reason
oakland-238425,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,S6.37,26-0886,action,,3955404,"Subject: Professional Services Contract Amendment With Alta Planning And Design, Inc. For 7th Street Connection Project From: Department Of Transportation Recommendation: Adopt A Resolution Authorizing The City Administrator To Amend The Professional Services Contract With Alta Planning + Design, Inc. For The 7th Street Connection Project By Increasing The Contract Amount By Seven Hundred Forty-Seven Thousand Two Hundred Eighty Eight Dollars ($747,288), For A Total Contract Amount Not To Exceed Three Million Nine Hundred Fifty-Five Thousand Four Hundred Four Dollars ($3,955,404), Extending The Contract Expiration Date To December 31, 2030, Waiving, To The Extent Required, Further Advertising, Competitive Bidding, Or Competitive Selection Requirements Under Oakland Municipal Code Sections 2.04.050 And 2.04.051, And Adopting Appropriate California Environmental Quality Act Findings",,
oakland-238424,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,S6.36,26-0854,action,,,Subject: City Response To 2025-2026 Alameda County Civil Grand Jury Report From: Office Of The City Administrator And Council President Jenkins Recommendation: Adopt A Resolution Authorizing The Council President To Submit A Response On Behalf Of The City Council To The 2025-2026 Alameda County Civil Grand Jury Report,,
oakland-238243,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,6.13,26-0864,consent,,,Subject: Resolution In Support Of AB 1588 (Stefani) From: Councilmember Wang Recommendation: Adopt A Resolution In Support Of Assembly Bill 1588 (Stefani) - Vehicles: Sideshow Enhancements,,
oakland-237787,2026-07-14 * Public Works And Transportation Committee,1,26-0835,unknown,,,"Approval Of The Draft Minutes From The Committee Meeting Of June 23, 2026",,
oakland-238420,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,S5.2,26-0813,action,,1750000,"Subject: Collision Repair Contracts For Light And Heavy Vehicles From: Oakland Public Works Department Recommendation: Adopt A Resolution Authorizing The City Administrator To Award Contracts To (1) Ron Dupratt Ford Inc In An Amount Not-To-Exceed One Million Four Hundred Thousand Dollars ($1,400,000), To Provide Collision Repair And Body Shop Services For Light Vehicles For A Three-Year Term (September 1, 2026 To September 1, 2029), And Two One-Year Options To Renew, In Response To RFQ 406535; (2) Quality Body & Fender In An Amount Not-To-Exceed One Million Fifty Thousand Dollars ($1,050,000), To Provide Collision Repair And Body Shop Services For Light Vehicles For A Three-Year Term (September 1, 2026 To September 1, 2029), And Two One-Year Options To Renew, In Response To RFQ 406535; (3) Falcon Collision Repair Inc In An Amount Not-To-Exceed Five Hundred Twenty-Five Thousand Dollars ($525,000), To Provide Collision Repair And Body Shop Services For Light Vehicles For A Three-Year Term (September 1, 2026 To September 1, 2029), And Two One-Year Options To Renew, In Response To RFQ 406535; (4) Moeller Bros. Body Shop In An Amount Not-To-Exceed Five Hundred Twenty-Five Thousand Dollars ($525,000), To Provide Collision Repair And Body Shop Services For Light Vehicles For A Three-Year Term (September 1, 2026 To September 1, 2029), And Two One-Year Options To Renew, In Response To RFQ 406535; (5) Moeller Bros. Body Shop In An Amount Not-To-Exceed One Million Seven Hundred Fifty Thousand Dollars ($1,750,000), To Provide Collision Repair And Body Shop Services For Heavy Vehicles For A Three-Year Term (September 1, 2026 To 2 September 1, 2029), And Two One-Year Options To Renew, In Response To RFQ 406529; (6) Falcon Collision Repair Inc In An Amount Not-To-Exceed One Million Seven Hundred Fifty Thousand Dollars ($1,750,000), To Provide Collision Repair And Body Shop Services For Heavy Vehicles For A Three-Year Term (September 1, 2026 To September 1, 2029), And Two One-Year Options To Renew, In Response To RFQ 406529; (7) Making Findings Under Oakland Municipal Code Sections 2.04.050 And 2.04.051 And Waiving Any Further Formal Advertising And Bidding Requirements To The Extent Necessary; And (8) And Adopt Appropriate California Environmental Quality Act (CEQA) Findings",,
oakland-238394,2026-07-16 *Rules & Legislation Committee,3.37,26-0871,action,,,Subject: MOU Between The City of Oakland And The California Highway Patrol From: Oakland Police Department Recommendation: Adopt A Resolution Authorizing The City Administrator To Enter Into A Memorandum Of Understanding (MOU) With The California Highway Patrol To Submit Vehicle Accident Reports Electronically Pursuant To Vehicle Code Section 20008,,
oakland-238391,2026-07-16 *Rules & Legislation Committee,3.34,26-0856,action,,324324,"Subject: OPD FY 2025 Edward Byrne Memorial Justice Assistance Grant From: Oakland Police Department Recommendation: Adopt A Resolution Authorizing The City Administrator To Apply For, Accept, And Appropriate Edward Byrne Memorial Justice Assistance Grant (JAG) Funds Up To Three Hundred Twenty-Four Thousand, Three Hundred Twenty-Four Dollars ($324,324.00) For The Fiscal Year 2025 Grant Award Period Of October 1, 2025 Through September 30, 2028, To Support Department-Wide Training, Equipment, Technology, And Operational Enhancements",,
oakland-238256,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,5.1,26-0903,action,,,"Subject: Selection Panel Nominations For Police Commissioner Appointment From: Office Of The City Administrator Recommendation: Adopt One Of The Following Pieces Of Legislations: 1) A Resolution Accepting The Police Commission Selection Panel’s Slate Of Two Commissioners, Ricardo Garcia-Acosta And Joey Harrison, To Serve On The Oakland Police Commission; Or",,
oakland-238409,2026-07-16 *Rules & Legislation Committee,3.7,26-0913,informational,,,"Subject: Operational And Financial Status Of City Owned Parking Garages From: Finance Department Recommendation: Receive An Informational Report On The Operational And Financial Status Of City-Owned Parking Garages, Evaluation Of Parking Operator Performance, And Review Of The City's Parking Operations Alternative; On The September 22, 2026 Finance And Management Committee Agenda",,
oakland-238017,2026-07-14 *Finance & Management Committee,4,26-0851,informational,,,"Subject: One Year Update To FY 2026-30 Oakland Roadmap From: Office Of The City Administrator Recommendation: Receive An Informational Report On The One Year Update To The FY 2026-30 Oakland Roadmap To Fiscal Health, A Plan To Address Mid- And Long-Term City Financial Challenges",,
